type,src,dst,cidx,didx,period,error,cktElement,cktTerminal,cktPhase,cktProperty
SmartMeter,3061,1,0,0,15000,1.667e-05,Load.3061,BUS1,PHASE_2,None
SmartMeter,3062,1,0,0,15000,1.667e-05,Load.3062,BUS1,PHASE_2,None
SmartMeter,3063,1,0,0,15000,1.667e-05,Load.3063,BUS1,PHASE_3,None
SmartMeter,3064,1,0,0,15000,1.667e-05,Load.3064,BUS1,PHASE_1,None
SmartMeter,3065,1,0,0,15000,1.667e-05,Load.3065,BUS1,PHASE_2,None
SmartMeter,3066,1,0,0,15000,1.667e-05,Load.3066,BUS1,PHASE_2,None
SmartMeter,3067,1,0,0,15000,1.667e-05,Load.3067,BUS1,PHASE_3,None
SmartMeter,3068,1,0,0,15000,1.667e-05,Load.3068,BUS1,PHASE_2,None
SmartMeter,3069,1,0,0,15000,1.667e-05,Load.3069,BUS1,PHASE_1,None
SmartMeter,3070,1,0,0,15000,1.667e-05,Load.3070,BUS1,PHASE_2,None
SmartMeter,3071,1,0,0,15000,1.667e-05,Load.3071,BUS1,PHASE_3,None
SmartMeter,3072,1,0,0,15000,1.667e-05,Load.3072,BUS1,PHASE_3,None
SmartMeter,3073,1,0,0,15000,1.667e-05,Load.3073,BUS1,PHASE_3,None
SmartMeter,3074,1,0,0,15000,1.667e-05,Load.3074,BUS1,PHASE_3,None
SmartMeter,3075,1,0,0,15000,1.667e-05,Load.3075,BUS1,PHASE_1,None
SmartMeter,3076,1,0,0,15000,1.667e-05,Load.3076,BUS1,PHASE_1,None
SmartMeter,3077,1,0,0,15000,1.667e-05,Load.3077,BUS1,PHASE_1,None
SmartMeter,3078,1,0,0,15000,1.667e-05,Load.3078,BUS1,PHASE_2,None
SmartMeter,3079,1,0,0,15000,1.667e-05,Load.3079,BUS1,PHASE_3,None
SmartMeter,3080,1,0,0,15000,1.667e-05,Load.3080,BUS1,PHASE_1,None
SmartMeter,3081,1,0,0,15000,1.667e-05,Load.3081,BUS1,PHASE_2,None
SmartMeter,3082,1,0,0,15000,1.667e-05,Load.3082,BUS1,PHASE_3,None
SmartMeter,3083,1,0,0,15000,1.667e-05,Load.3083,BUS1,PHASE_3,None
SmartMeter,3084,1,0,0,15000,1.667e-05,Load.3084,BUS1,PHASE_1,None
SmartMeter,3085,1,0,0,15000,1.667e-05,Load.3085,BUS1,PHASE_1,None
SmartMeter,3086,1,0,0,15000,1.667e-05,Load.3086,BUS1,PHASE_1,None
SmartMeter,3087,1,0,0,15000,1.667e-05,Load.3087,BUS1,PHASE_3,None
SmartMeter,3088,1,0,0,15000,1.667e-05,Load.3088,BUS1,PHASE_3,None
SmartMeter,3089,1,0,0,15000,1.667e-05,Load.3089,BUS1,PHASE_1,None
SmartMeter,3090,1,0,0,15000,1.667e-05,Load.3090,BUS1,PHASE_2,None
SmartMeter,3091,1,0,0,15000,1.667e-05,Load.3091,BUS1,PHASE_2,None
SmartMeter,3092,1,0,0,15000,1.667e-05,Load.3092,BUS1,PHASE_2,None
SmartMeter,3093,1,0,0,15000,1.667e-05,Load.3093,BUS1,PHASE_2,None
SmartMeter,3094,1,0,0,15000,1.667e-05,Load.3094,BUS1,PHASE_3,None
SmartMeter,3095,1,0,0,15000,1.667e-05,Load.3095,BUS1,PHASE_2,None
SmartMeter,3096,1,0,0,15000,1.667e-05,Load.3096,BUS1,PHASE_2,None
SmartMeter,3097,1,0,0,15000,1.667e-05,Load.3097,BUS1,PHASE_3,None
SmartMeter,3098,1,0,0,15000,1.667e-05,Load.3098,BUS1,PHASE_3,None
SmartMeter,3099,1,0,0,15000,1.667e-05,Load.3099,BUS1,PHASE_2,None
SmartMeter,3100,1,0,0,15000,1.667e-05,Load.3100,BUS1,PHASE_2,None
SmartMeter,3101,1,0,0,15000,1.667e-05,Load.3101,BUS1,PHASE_1,None
SmartMeter,3102,1,0,0,15000,1.667e-05,Load.3102,BUS1,PHASE_3,None
SmartMeter,3103,1,0,0,15000,1.667e-05,Load.3103,BUS1,PHASE_1,None
SmartMeter,3104,1,0,0,15000,1.667e-05,Load.3104,BUS1,PHASE_1,None
SmartMeter,3105,1,0,0,15000,1.667e-05,Load.3105,BUS1,PHASE_2,None
SmartMeter,3106,1,0,0,15000,1.667e-05,Load.3106,BUS1,PHASE_1,None
SmartMeter,3107,1,0,0,15000,1.667e-05,Load.3107,BUS1,PHASE_1,None
SmartMeter,3108,1,0,0,15000,1.667e-05,Load.3108,BUS1,PHASE_2,None
SmartMeter,3109,1,0,0,15000,1.667e-05,Load.3109,BUS1,PHASE_1,None
SmartMeter,3110,1,0,0,15000,1.667e-05,Load.3110,BUS1,PHASE_1,None
SmartMeter,4056,1,0,0,15000,1.667e-05,Load.4056,BUS1,PHASE_1,None
SmartMeter,4057,1,0,0,15000,1.667e-05,Load.4057,BUS1,PHASE_2,None
SmartMeter,4058,1,0,0,15000,1.667e-05,Load.4058,BUS1,PHASE_1,None
SmartMeter,4059,1,0,0,15000,1.667e-05,Load.4059,BUS1,PHASE_1,None
SmartMeter,4060,1,0,0,15000,1.667e-05,Load.4060,BUS1,PHASE_1,None
